ds,y
06/08/2013,125
06/09/2013,984
06/10/2013,3421
06/11/2013,3280
06/12/2013,3234
6/13/2013,3155
6/14/2013,2718
6/15/2013,890
6/16/2013,859
6/17/2013,3327
6/18/2013,3187
6/19/2013,3155
6/20/2013,2921
6/21/2013,2687
6/22/2013,906
6/23/2013,937
6/24/2013,3452
6/25/2013,3093
6/26/2013,3171
6/27/2013,2859
6/28/2013,2562
6/29/2013,812
6/30/2013,812
07/01/2013,3640
07/02/2013,3843
07/03/2013,3890
07/04/2013,3905
07/05/2013,3405
07/06/2013,1703
07/07/2013,1765
07/08/2013,4702
07/09/2013,3968
07/10/2013,3858
07/11/2013,3577
07/12/2013,3405
7/13/2013,1390
7/14/2013,1343
7/15/2013,3374
7/16/2013,3155
7/17/2013,2984
7/18/2013,2749
7/19/2013,2390
7/20/2013,797
7/21/2013,890
7/22/2013,3155
7/23/2013,3187
7/24/2013,3296
7/25/2013,2937
7/26/2013,2937
7/27/2013,968
7/28/2013,1093
7/29/2013,3468
7/30/2013,3483
7/31/2013,3265
08/01/2013,2968
08/02/2013,2593
08/03/2013,1031
08/04/2013,875
08/05/2013,3733
08/06/2013,3343
08/07/2013,3562
08/08/2013,3077
08/09/2013,2827
08/10/2013,906
08/11/2013,1031
08/12/2013,6358
8/13/2013,3702
8/14/2013,3546
8/15/2013,3312
8/16/2013,2796
8/17/2013,1078
8/18/2013,1078
8/19/2013,3483
8/20/2013,3968
8/21/2013,3358
8/22/2013,4593
8/23/2013,2734
8/24/2013,922
8/25/2013,797
8/26/2013,1000
8/27/2013,4218
8/28/2013,3327
8/29/2013,3921
8/30/2013,2781
8/31/2013,984
09/01/2013,875
09/02/2013,4218
09/03/2013,3483
09/04/2013,3312
09/05/2013,3155
09/06/2013,2999
09/07/2013,1000
09/08/2013,1078
09/09/2013,4015
09/10/2013,3874
09/11/2013,3733
09/12/2013,3858
9/13/2013,3030
9/14/2013,953
9/15/2013,1172
9/16/2013,3733
9/17/2013,3671
9/18/2013,4686
9/19/2013,3780
9/20/2013,3405
9/21/2013,1250
9/22/2013,1203
9/23/2013,5061
9/24/2013,4108
9/25/2013,3905
9/26/2013,3640
9/27/2013,4093
9/28/2013,1515
9/29/2013,1546
9/30/2013,4639
10/01/2013,4108
10/02/2013,4108
10/03/2013,4186
10/04/2013,4218
10/05/2013,1515
10/06/2013,1421
10/07/2013,4561
10/08/2013,4889
10/09/2013,4327
10/10/2013,4015
10/11/2013,3858
10/12/2013,1734
10/13/2013,1874
10/14/2013,4702
10/15/2013,4483
10/16/2013,4858
10/17/2013,4514
10/18/2013,4858
10/19/2013,2234
10/20/2013,2406
10/21/2013,5327
10/22/2013,4921
10/23/2013,4030
10/24/2013,3858
10/25/2013,4374
10/26/2013,1671
10/27/2013,1718
10/28/2013,4889
10/29/2013,4374
10/30/2013,4249
10/31/2013,4546
11/01/2013,3046
11/02/2013,1297
11/03/2013,1234
11/04/2013,4233
11/05/2013,4686
11/06/2013,4343
11/07/2013,4124
11/08/2013,3890
11/09/2013,1718
11/10/2013,1609
11/11/2013,5061
11/12/2013,5264
11/13/2013,4436
11/14/2013,4233
11/15/2013,3655
11/16/2013,1656
11/17/2013,1796
11/18/2013,4452
11/19/2013,4405
11/20/2013,4452
11/21/2013,3999
11/22/2013,3858
11/23/2013,1671
11/24/2013,1468
11/25/2013,4280
11/26/2013,3968
11/27/2013,4030
11/28/2013,3827
11/29/2013,3030
11/30/2013,1343
12/01/2013,1047
12/02/2013,3905
12/03/2013,3624
12/04/2013,3343
12/05/2013,3421
12/06/2013,2812
12/07/2013,906
12/08/2013,1093
12/09/2013,3640
12/10/2013,3499
12/11/2013,3312
12/12/2013,3187
12/13/2013,2843
12/14/2013,1172
12/15/2013,1078
12/16/2013,4327
12/17/2013,3515
12/18/2013,3327
12/19/2013,2781
12/20/2013,2249
12/21/2013,844
12/22/2013,719
12/23/2013,2234
12/24/2013,890
12/25/2013,359
12/26/2013,453
12/27/2013,1156
12/28/2013,828
12/29/2013,828
12/30/2013,1999
12/31/2013,1218
01/01/2014,1062
01/02/2014,3343
01/03/2014,3124
01/04/2014,1078
01/05/2014,1328
01/06/2014,3983
01/07/2014,3905
01/08/2014,3499
01/09/2014,3687
01/10/2014,3483
01/11/2014,1265
01/12/2014,1297
1/13/2014,4061
1/14/2014,3968
1/15/2014,3952
1/16/2014,3687
1/17/2014,3296
1/18/2014,1265
1/19/2014,1406
1/20/2014,4155
1/21/2014,3843
1/22/2014,3983
1/23/2014,3687
1/24/2014,3405
1/25/2014,1203
1/26/2014,1437
1/27/2014,4468
1/28/2014,4046
1/29/2014,4421
1/30/2014,4015
1/31/2014,3468
02/01/2014,1250
02/02/2014,1312
02/03/2014,4249
02/04/2014,3858
02/05/2014,3952
02/06/2014,3968
02/07/2014,3234
02/08/2014,1312
02/09/2014,1265
02/10/2014,3858
02/11/2014,3718
02/12/2014,3796
2/13/2014,3390
2/14/2014,3437
2/15/2014,1390
2/16/2014,1109
2/17/2014,4061
2/18/2014,3999
2/19/2014,3749
2/20/2014,3546
2/21/2014,3265
2/22/2014,1328
2/23/2014,1281
2/24/2014,4249
2/25/2014,3890
2/26/2014,3968
2/27/2014,3655
2/28/2014,3390
03/01/2014,1328
03/02/2014,1375
03/03/2014,4015
03/04/2014,3624
03/05/2014,3874
03/06/2014,3749
03/07/2014,3015
03/08/2014,1156
03/09/2014,1000
03/10/2014,3968
03/11/2014,3749
03/12/2014,3483
3/13/2014,3390
3/14/2014,3062
3/15/2014,1109
3/16/2014,937
3/17/2014,3780
3/18/2014,4186
3/19/2014,3733
3/20/2014,3468
3/21/2014,3124
3/22/2014,1156
3/23/2014,1156
3/24/2014,3983
3/25/2014,4452
3/26/2014,3890
3/27/2014,3483
3/28/2014,3452
3/29/2014,1297
3/30/2014,984
3/31/2014,4124
04/01/2014,3655
04/02/2014,3905
04/03/2014,3936
04/04/2014,3499
04/05/2014,1156
04/06/2014,1234
04/07/2014,4186
04/08/2014,3796
04/09/2014,3390
04/10/2014,3312
04/11/2014,3265
04/12/2014,1109
4/13/2014,1078
4/14/2014,3390
4/15/2014,3483
4/16/2014,3155
4/17/2014,3062
4/18/2014,953
4/19/2014,937
4/20/2014,812
4/21/2014,1234
4/22/2014,4171
4/23/2014,3811
4/24/2014,3624
4/25/2014,3343
4/26/2014,1109
4/27/2014,1281
4/28/2014,3874
4/29/2014,3515
4/30/2014,3655
05/01/2014,3593
05/02/2014,3265
05/03/2014,922
05/04/2014,844
05/05/2014,1062
05/06/2014,4608
05/07/2014,3968
05/08/2014,3921
05/09/2014,3437
05/10/2014,1265
05/11/2014,1218
05/12/2014,4218
5/13/2014,3952
5/14/2014,3530
5/15/2014,3452
5/16/2014,2859
5/17/2014,1031
5/18/2014,844
5/19/2014,3952
5/20/2014,3843
5/21/2014,3562
5/22/2014,3390
5/23/2014,2999
5/24/2014,1140
5/25/2014,812
5/26/2014,1125
5/27/2014,3655
5/28/2014,3671
5/29/2014,3530
5/30/2014,3155
5/31/2014,1078
06/01/2014,984
06/02/2014,4046
06/03/2014,3921
06/04/2014,3624
06/05/2014,3640
06/06/2014,3124
06/07/2014,1703
06/08/2014,1109
06/09/2014,4140
06/10/2014,3874
06/11/2014,3796
06/12/2014,3562
6/13/2014,2999
6/14/2014,1093
6/15/2014,1203
6/16/2014,3749
6/17/2014,3530
6/18/2014,3296
6/19/2014,3312
6/20/2014,2718
6/21/2014,984
6/22/2014,890
6/23/2014,3640
6/24/2014,3452
6/25/2014,3343
6/26/2014,3296
6/27/2014,3093
