ds,y
28/04/2014,171.03
29/04/2014,711.02
30/04/2014,498.03
01/05/2014,553.06
02/05/2014,540
03/05/2014,351.27
04/05/2014,256.56
05/05/2014,445.97
06/05/2014,597.11
07/05/2014,586.01
08/05/2014,568.01
09/05/2014,556.76
10/05/2014,436.23
11/05/2014,466.74
12/05/2014,1055.42
13/05/2014,562.55
14/05/2014,564.44
15/05/2014,548.33
16/05/2014,524.57
17/05/2014,276.15
18/05/2014,297.98
19/05/2014,656.38
20/05/2014,647.44
21/05/2014,594.97
22/05/2014,652.53
23/05/2014,550.74
24/05/2014,356.08
25/05/2014,312.43
26/05/2014,349.53
27/05/2014,702.33
28/05/2014,696.77
29/05/2014,668.88
30/05/2014,589.14
31/05/2014,265.88
01/06/2014,327.21
02/06/2014,658.02
03/06/2014,650.18
04/06/2014,638.13
05/06/2014,650.15
06/06/2014,556.1
07/06/2014,449.99
08/06/2014,350.8
09/06/2014,728
10/06/2014,696.27
11/06/2014,705.3
12/06/2014,641.3
13/06/2014,643.13
14/06/2014,279.41
15/06/2014,393.34
16/06/2014,746.21
17/06/2014,746.18
18/06/2014,699.6
19/06/2014,668.4
20/06/2014,518.96
21/06/2014,225.53
22/06/2014,323.18
23/06/2014,864.39
24/06/2014,805.28
25/06/2014,793.72
26/06/2014,715.96
27/06/2014,669.42
28/06/2014,259.59
29/06/2014,250.05
30/06/2014,856.39
01/07/2014,786.4
02/07/2014,789.38
03/07/2014,799.1
04/07/2014,678.44
05/07/2014,328.32
06/07/2014,377.41
07/07/2014,963.79
08/07/2014,802.2
09/07/2014,785.09
10/07/2014,639.67
11/07/2014,511.42
12/07/2014,259.58
13/07/2014,238.44
14/07/2014,675.25
15/07/2014,674.61
16/07/2014,617.78
17/07/2014,652.53
18/07/2014,599.25
19/07/2014,343.47
20/07/2014,372.78
21/07/2014,810.61
22/07/2014,658.96
23/07/2014,672.87
24/07/2014,660.87
25/07/2014,558.39
26/07/2014,256.64
27/07/2014,389.02
28/07/2014,887.71
29/07/2014,768.9
30/07/2014,725
31/07/2014,691.87
01/08/2014,753.07
02/08/2014,358.39
03/08/2014,394.19
04/08/2014,828.1
05/08/2014,731.26
06/08/2014,807.22
07/08/2014,711.78
08/08/2014,605.82
09/08/2014,382.9
10/08/2014,396.22
11/08/2014,825.65
12/08/2014,734.49
13/08/2014,670.95
14/08/2014,733.82
15/08/2014,587.58
16/08/2014,297.87
17/08/2014,377.71
18/08/2014,879.12
19/08/2014,733.86
20/08/2014,747.54
21/08/2014,600.07
22/08/2014,524.84
23/08/2014,257.32
24/08/2014,200.47
25/08/2014,356.25
26/08/2014,812.84
27/08/2014,692.45
28/08/2014,586.85
29/08/2014,509.34
30/08/2014,340.21
31/08/2014,251.88
01/09/2014,783.28
02/09/2014,668.49
03/09/2014,710.26
04/09/2014,599.45
05/09/2014,517.96
06/09/2014,343.55
07/09/2014,290.42
08/09/2014,701.67
09/09/2014,737.99
10/09/2014,631.05
11/09/2014,704.07
12/09/2014,580.4
13/09/2014,236.69
14/09/2014,339.16
15/09/2014,774.83
16/09/2014,653.21
17/09/2014,776.17
18/09/2014,560.6
19/09/2014,610.24
20/09/2014,278.92
21/09/2014,325.14
22/09/2014,818.11
23/09/2014,757.28
24/09/2014,671.24
25/09/2014,637.2
26/09/2014,580.23
27/09/2014,314.11
28/09/2014,300.27
29/09/2014,871.16
30/09/2014,877.09
01/10/2014,708.48
02/10/2014,687.85
03/10/2014,599.21
04/10/2014,287.28
05/10/2014,351.6
06/10/2014,745.61
07/10/2014,703.15
08/10/2014,713.98
09/10/2014,726.97
10/10/2014,749.71
11/10/2014,321.69
12/10/2014,290.67
13/10/2014,956.16
14/10/2014,798.96
15/10/2014,848.62
16/10/2014,793.27
17/10/2014,651.61
18/10/2014,392.87
19/10/2014,384.52
20/10/2014,973.9
21/10/2014,953.3
22/10/2014,872.19
23/10/2014,892.56
24/10/2014,762.57
25/10/2014,332.84
26/10/2014,353.82
27/10/2014,940.59
28/10/2014,441.99
29/10/2014,237.12
30/10/2014,224.29
31/10/2014,177.97
01/11/2014,185.63
02/11/2014,38.55
03/11/2014,463.29
04/11/2014,630.02
05/11/2014,696.24
06/11/2014,611.3
07/11/2014,579.97
08/11/2014,290.16
09/11/2014,71.45
10/11/2014,783.07
11/11/2014,689.87
12/11/2014,746.87
13/11/2014,742.56
14/11/2014,666.98
15/11/2014,276.8
16/11/2014,55.58
17/11/2014,787.87
18/11/2014,686.51
19/11/2014,666.3
20/11/2014,632.45
21/11/2014,700.47
22/11/2014,312.53
23/11/2014,55.61
24/11/2014,867.59
25/11/2014,850.81
26/11/2014,756.69
27/11/2014,787.74
28/11/2014,589.56
29/11/2014,261.03
